"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"btcoidIDR","IDR",241496000,241498000,,,256500000,241496000,,713.99898269,176429318641.1414
"localbtcUSD","USD",1462214.8,14273.38,,,70001.62,21183.03,,145.2250703,2193340.23176021
"zyadoEUR","EUR",11429.66,11515.04,,,,11429.66,,0,0
"localbtcDKK","DKK",119831.83,92178.33,,,107390.47,97369.35,,1.05857413,95375.0004254122
"localbtcPLN","PLN",52054.6,60025.69,,,67805.34,60242.66,,1.46883368,73300.0001840443
"bit2cILS","ILS",57970.18,58000,,,58599.98,58000,,36.58550625,2065969.3839645295
"itbitUSD","USD",14999.91,15005.03,,,15063.26,15005.05,,3390.1447,47909239.062938
"itbitSGD","SGD",20037.11,20045.65,,,20131.82,19844.5,,21.6162,407390.384507
"itbitEUR","EUR",12553.39,12557.64,,,12604.14,12560.72,,25.1283,297307.140417
"korbitKRW","KRW",19160000,19184000,,,20400000,19174500,,3670.819280944974,71563050101.08585
"bitbayUSD","USD",15295.81,15753.42,,,16550,15295.8,,30.89954083,478206.5860107987
"bitbayPLN","PLN",53891.25,53895.37,,,55789.99,53900.11,,1347.01972334,71854584.10119674
"bitbayEUR","EUR",12700.01,12999.99,,,13777.27,12700.01,,48.70609147,623129.6222956354
"anxhkEUR","EUR",334.58273,345.82794,,,,215.56602,,0,0
"anxhkJPY","JPY",41227.18171,49140.39218,,,,29436.14898,,0,0
"anxhkSGD","SGD",514.28762,544.96262,,,,341.72994,,0,0
"rippleXRP","XRP",71364.470696,71467.407897,,,,69707.30562378,,0,0
"rippleUSD","USD",342.87015289,347.86740437,,,,327.42057115,,0,0
"btcxchangeRON","RON",1155.36,1169.07,,,,1800,,0,0
"1coinUSD","USD",222.8,223,,,,253.8,,0,0
"coinfloorGBP","GBP",11155,11211,,,11200,11176,,623.8853,6675293.934
"localbtcSEK","SEK",139400.73,122281.34,,,188916.04,133467.25,,11.08153378,1335244.7021075909
"mtgoxAUD","AUD",146.43629,154.03896,,,,144.30206,,0,0
"mtgoxCNY","CNY",803.10299,844.79843,,,,784.38437,,0,0
"mtgoxNZD","NZD",158.77756,167.02096,,,,151,,0,0
"localbtcRUB","RUB",85646238268416.14,750500,,,1592747.27,929999.99,,188.61115211,171279674.5819674
"bitstampUSD","USD",15011.02,15049.33,,,15100,15010.68,,15678.81965418,221757714.20314437
"btcmarketsAUD","AUD",20390,20397.96,,,20496.89,20397.96,,745.69139068,14728064.097411968
"localbtcARS","ARS",373184.69,344478.18,,,440901.56,440901.56,,1.88187086,608566.1329435708
"localbtcNOK","NOK",123247.89,126082.59,,,152089.82,121453.2,,12.27713411,1513303.4480157837
"anxhkCAD","CAD",506.83788,536.04429,,,,317.0868,,0,0
"anxhkGBP","GBP",254.60483,262.41894,,,,159.85388,,0,0
"anxhkHKD","HKD",2857.95853,2919.4307,,,,1907.33658,,0,0
"anxhkUSD","USD",369.74229,372.87118,,,,244.85695,,0,0
"localbtcGBP","GBP",32112.39,7731,,,32077.33,29791.16,,133.51152909,1525767.3593217295
"virwoxSLL","SLL",3750000,3779999,,,,3779999,,0,0
"fybseSEK","SEK",111238.08,129998.97,,,117200,116999.9,,0.40752473,47157.1834698714
"krakenUSD","USD",15086,15086.2,,,15118.6,15089.2,,4607.50966299,66029168.92723105
"mrcdBRL","BRL",51106.01,51940,,,53950,51120,,762.00959911,38446191.55526333
"fybsgSGD","SGD",21437.99,21568,,,22586.95,21568,,36.89201073,780195.1480374819
"localbtcTHB","THB",533999,484976.93,,,602111,518796.09,,7.45039848,3890300.3118408937
"localbtcSGD","SGD",24450,20930.02,,,23869.9,22385,,6.09319101,128996.7497489142
"localbtcHKD","HKD",136984.26,118304.59,,,140231.28,133375.77,,5.26986427,656683.9182242181
"localbtcILS","ILS",51775.42,49784.06,,,82999.12,66300.01,,0.05150452,3449.9998755587
"localbtcCZK","CZK",309269.19,347927.83,,,425800.08,275733.19,,0.20985695,58724.8401674629
"localbtcMXN","MXN",440821.44,290744.72,,,424613.42,334797.07,,2.25932466,708525.9989043329
"localbtcCHF","CHF",19853.98,14465.04,,,17337.63,14421,,2.4871527,37621.5801910394
"vcxUSD","USD",1500.00000101,6500,,,6500,6500,,0.003559,23.1335
"mtgoxSGD","SGD",166.9763,175.64537,,,,200,,0,0
"mtgoxHKD","HKD",1021.5348,1074.57077,,,,1001,,0,0
"mtgoxEUR","EUR",95.89175,98.41,,,,95.89175,,0,0
"mtgoxSEK","SEK",857.004,901.498,,,,1046.411,,0,0
"kptnSEK","SEK",3200,3468.465,,,,3468.465,,0,0
"rockUSD","USD",13550.01,16369,,,14899.99,13550.01,,0.7065,9870.500195
"lakeUSD","USD",15417.25,15447.26,,,15487.46,15364.41,,199.25603,2935090.48859612
"localbtcZAR","ZAR",243000,210644.02,,,300003,244999.19,,9.90138703,1970323.0982704633
