"symbol","currency","bid","ask"," latest_trade","n_trades","high","close","previous_close","volume","currency_volume"
"btcoidIDR","IDR",241497000,241989000,,,256500000,241498000,,715.45841078,176781818302.3528
"localbtcUSD","USD",1462214.8,14273.38,,,70001.62,21183.03,,145.2250703,2193340.23176021
"zyadoEUR","EUR",11429.66,11515.04,,,,11429.66,,0,0
"localbtcDKK","DKK",119831.83,92178.33,,,107390.47,97369.35,,1.05857413,95375.0004254122
"localbtcPLN","PLN",52054.6,60025.69,,,67805.34,60242.66,,1.46883368,73300.0001840443
"bit2cILS","ILS",57970.17,58000,,,58599.98,58000,,36.58550625,2065969.3839645295
"itbitUSD","USD",15007.23,15011.92,,,15063.26,15010.13,,3390.3457,47912254.931538
"itbitSGD","SGD",20053.13,20059.42,,,20131.82,19844.5,,21.6162,407390.384507
"itbitEUR","EUR",12559.02,12563.77,,,12604.14,12560.72,,25.1283,297307.140417
"korbitKRW","KRW",19151000,19193500,,,20400000,19190500,,3677.00021887369,71681487616.7803
"bitbayUSD","USD",15295.81,15753.42,,,16550,15295.8,,30.89954083,478206.5860107987
"bitbayPLN","PLN",53891.25,53895.37,,,55789.99,53900.11,,1347.01972334,71854584.10119674
"bitbayEUR","EUR",12700.01,12999.99,,,13777.27,12700.01,,48.70609147,623129.6222956354
"anxhkEUR","EUR",334.58273,345.82794,,,,215.56602,,0,0
"anxhkJPY","JPY",41227.18171,49140.39218,,,,29436.14898,,0,0
"anxhkSGD","SGD",514.28762,544.96262,,,,341.72994,,0,0
"rippleXRP","XRP",71364.470696,71467.407897,,,,69707.30562378,,0,0
"rippleUSD","USD",342.87015289,347.86740437,,,,327.42057115,,0,0
"btcxchangeRON","RON",1155.36,1169.07,,,,1800,,0,0
"1coinUSD","USD",222.8,223,,,,253.8,,0,0
"coinfloorGBP","GBP",11164,11211,,,11200,11176,,623.8853,6675293.934
"localbtcSEK","SEK",139400.73,122281.34,,,188916.04,133467.25,,11.08153378,1335244.7021075909
"mtgoxAUD","AUD",146.43629,154.03896,,,,144.30206,,0,0
"mtgoxCNY","CNY",803.10299,844.79843,,,,784.38437,,0,0
"mtgoxNZD","NZD",158.77756,167.02096,,,,151,,0,0
"localbtcRUB","RUB",85646238268416.14,750500,,,1592747.27,929999.99,,188.61115211,171279674.5819674
"bitstampUSD","USD",15013.32,15058.55,,,15100,15058.44,,15682.11563302,221807370.69524395
"btcmarketsAUD","AUD",20397.96,20399,,,20496.89,20400,,747.2826739,14760509.220063675
"localbtcARS","ARS",373184.69,344478.18,,,440901.56,440901.56,,1.88187086,608566.1329435708
"localbtcNOK","NOK",123247.89,126082.59,,,152089.82,121453.2,,12.27713411,1513303.4480157837
"anxhkCAD","CAD",506.83788,536.04429,,,,317.0868,,0,0
"anxhkGBP","GBP",254.60483,262.41894,,,,159.85388,,0,0
"anxhkHKD","HKD",2857.95853,2919.4307,,,,1907.33658,,0,0
"anxhkUSD","USD",369.74229,372.87118,,,,244.85695,,0,0
"localbtcGBP","GBP",32112.39,7731,,,32077.33,29791.16,,133.51152909,1525767.3593217295
"virwoxSLL","SLL",3750000,3779999,,,,3779999,,0,0
"fybseSEK","SEK",111312.09,129998.87,,,117200,116999.9,,0.40752473,47157.1834698714
"krakenUSD","USD",15086.2,15089.7,,,15118.6,15052.9,,4610.16352805,66069165.20680846
"mrcdBRL","BRL",51130.0001,51889.99,,,53950,51125,,762.12808369,38452249.87941583
"fybsgSGD","SGD",21437.99,21569,,,22586.95,21568,,36.89201073,780195.1480374819
"localbtcTHB","THB",533999,484976.93,,,602111,518796.09,,7.45039848,3890300.3118408937
